Country,Region,Female,Male
Hong Kong,Asia,88.17,82.38
Japan,Asia,88.09,81.91
Macao,Asia ,87.62,81.73
Switzerland,Europe,86.02,82.42
Singapore,Asia,86.15,82.06
Italy,Europe,85.97,81.9
Spain,Europe,86.68,81.27
Australia,Oceania,85.8,82.08
Channel Islands,Europe,85.31,81.82
Iceland,Europe,84.9,82.15
South Korea,Asia,86.42,80.46
Israel,Middle East,84.91,81.98
Sweden,Europe,84.97,81.69
France,Europe,85.82,80.32
Martinique,North America,86.1,79.85
Malta,Europe,84.68,81.37
Canada,North America,84.74,81.15
Norway,Europe,84.78,81.11
Ireland,Europe,84.32,81.29
New Zealand,Oceania,84.38,81.2
Greece,Europe,85.08,80.52
Luxembourg,Europe,84.76,80.83
Netherlands,Europe,84.35,81.2
Guadeloupe,North America,85.94,79.16
Portugal,Europe,85.28,79.79
Finland,Europe,85.14,79.82
Belgium,Europe,84.31,80
Austria,Europe,84.19,79.88
Germany,Europe,84.14,79.62
Slovenia,Europe,84.44,79.26
United Kingdom,Europe,83.28,80.22
Réunion,Africa,84.45,78.52
Cyprus,Middle East,83.45,79.55
Denmark,Europe,83.27,79.54
U.S. Virgin Islands,North America,83.52,78.64
Taiwan,Asia ,83.64,78.49
Costa Rica,North America,83.39,78.53
Chile,South America,82.8,78.54
Guam,Oceania,83.98,77.63
Qatar,Middle East,82.49,79.78
Puerto Rico,North America,83.92,77.27
French Guiana,South America,83.38,77.8
Maldives,Asia,81.58,78.53
Mayotte,Africa,83.24,76.62
Czech Republic (Czechia),Europe,82.35,77.33
Barbados,North America,80.85,78.36
Curaçao,South America,82.08,76.42
Poland,Europe,82.98,75.51
Lebanon,Middle East,81.17,77.53
Estonia,Europe,83.06,74.98
Cuba,North America,81.12,77.25
United States,North America,81.65,76.61
Panama,North America,82.2,76.14
Croatia,Europe,82.02,75.95
Albania,Europe,80.48,77.48
Oman,Middle East,80.94,76.9
United Arab Emirates,Middle East,78.46,79.8
Turkey,Middle East,78.45,81.21
Uruguay,South America,78.43,81.88
